id,date_completion,date_cutoff,publication_any,publication_article,publication_preprint,publication_summary,publication_interim_any,date_publication_any,date_publication_article,date_publication_preprint,date_publication_summary,date_publication_interim_any,time_publication_any,time_publication_article,time_publication_preprint,time_publication_summary,time_publication_interim_any
tri02982,2021-01-12,2021-08-15,TRUE,TRUE,TRUE,FALSE,TRUE,2021-02-08,2021-04-09,2021-02-08,NA,2021-02-08,27,87,27,215,27
tri02984,2021-04-30,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,107,107,107,107,107
tri02991,2020-09-01,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,348,348,348,348,348
tri02995,2021-01-15,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,212,212,212,212,212
tri02997,2020-09-01,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,348,348,348,348,348
tri03001,2020-09-08,2021-08-15,FALSE,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,NA,2020-11-26,341,341,341,341,79
tri03008,2020-11-08,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,280,280,280,280,280
tri03009,2020-11-01,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,287,287,287,287,287
tri03011,2020-08-17,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,363,363,363,363,363
tri03017,2021-06-01,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,75,75,75,75,75
tri03020,2020-08-23,2021-08-15,TRUE,TRUE,FALSE,FALSE,TRUE,2020-12-03,2020-12-03,NA,NA,2020-12-03,102,102,357,357,102
tri03025,2020-08-01,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,379,379,379,379,379
tri03026,2020-12-18,2021-08-15,TRUE,TRUE,TRUE,FALSE,TRUE,2021-01-27,2021-05-27,2021-01-27,NA,2021-01-27,40,160,40,240,40
tri03028,2020-06-05,2021-08-15,TRUE,TRUE,TRUE,FALSE,TRUE,2020-07-26,2020-11-18,2020-07-26,NA,2020-07-26,51,166,51,436,51
tri03030,2021-05-25,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,82,82,82,82,82
tri03033,2021-04-21,2021-08-15,TRUE,FALSE,FALSE,TRUE,TRUE,2021-05-13,NA,NA,2021-05-13,2021-05-13,22,116,116,22,22
tri03037,2020-08-31,2021-08-15,FALSE,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,NA,2021-04-01,349,349,349,349,213
tri03039,2020-08-18,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,362,362,362,362,362
tri03042,2020-06-08,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,433,433,433,433,433
tri03044,2021-04-16,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,121,121,121,121,121
tri03045,2020-08-21,2021-08-15,TRUE,TRUE,FALSE,FALSE,TRUE,2021-04-12,2021-04-12,NA,NA,2021-04-12,234,234,359,359,234
tri03047,2020-07-31,2021-08-15,TRUE,TRUE,TRUE,FALSE,TRUE,2021-01-22,2021-06-27,2021-01-22,NA,2021-01-22,175,331,175,380,175
tri03049,2021-03-01,2021-08-15,TRUE,FALSE,TRUE,FALSE,TRUE,2021-05-05,NA,2021-05-05,NA,2021-05-05,65,167,65,167,65
tri03051,2021-02-24,2021-08-15,TRUE,TRUE,FALSE,FALSE,TRUE,2021-06-11,2021-06-11,NA,NA,2021-06-11,107,107,172,172,107
tri03057,2020-12-22,2021-08-15,TRUE,TRUE,FALSE,TRUE,TRUE,2020-08-16,2021-07-20,NA,2020-08-16,2020-08-16,-128,210,236,-128,-128
tri03060,2020-10-02,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,317,317,317,317,317
tri03065,2020-08-17,2021-08-15,TRUE,TRUE,TRUE,FALSE,TRUE,2020-09-18,2021-03-03,2020-09-18,NA,2020-09-18,32,198,32,363,32
tri03067,2021-01-05,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,222,222,222,222,222
tri03069,2021-06-30,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,46,46,46,46,46
tri03071,2021-01-01,2021-08-15,TRUE,FALSE,TRUE,FALSE,TRUE,2021-02-11,NA,2021-02-11,NA,2021-02-11,41,226,41,226,41
tri03074,2020-09-17,2021-08-15,TRUE,TRUE,TRUE,FALSE,TRUE,2020-12-11,2021-07-24,2020-12-11,NA,2020-12-11,85,310,85,332,85
tri03075,2021-03-15,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,153,153,153,153,153
tri03081,2020-11-06,2021-08-15,TRUE,FALSE,TRUE,FALSE,TRUE,2021-02-23,NA,2021-02-23,NA,2021-02-23,109,282,109,282,109
tri03085,2021-06-01,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,75,75,75,75,75
tri03086,2021-04-23,2021-08-15,TRUE,TRUE,FALSE,TRUE,TRUE,2021-03-17,2021-03-17,NA,2021-05-13,2021-03-17,-37,-37,114,20,-37
tri03092,2021-01-31,2021-08-15,TRUE,FALSE,FALSE,TRUE,TRUE,2021-06-29,NA,NA,2021-06-29,2021-06-29,149,196,196,149,149
tri03099,2020-12-23,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,235,235,235,235,235
tri03102,2021-03-31,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,137,137,137,137,137
tri03104,2021-04-30,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,107,107,107,107,107
tri03110,2020-10-01,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,318,318,318,318,318
