id,date_completion,date_cutoff,publication_any,publication_article,publication_preprint,publication_summary,publication_interim_any,date_publication_any,date_publication_article,date_publication_preprint,date_publication_summary,date_publication_interim_any,time_publication_any,time_publication_article,time_publication_preprint,time_publication_summary,time_publication_interim_any,month_completion,semester,semester_fct
tri06209,2021-03-10,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,158,158,158,158,158,2021-03-01,3,Jan 2021-Jun 2021
tri06211,2021-05-01,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,106,106,106,106,106,2021-05-01,3,Jan 2021-Jun 2021
tri06213,2021-04-01,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,136,136,136,136,136,2021-04-01,3,Jan 2021-Jun 2021
tri06215,2021-04-01,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,136,136,136,136,136,2021-04-01,3,Jan 2021-Jun 2021
tri06219,2020-12-01,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,257,257,257,257,257,2020-12-01,2,July 2020-Dec 2020
tri06232,2021-06-25,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,51,51,51,51,51,2021-06-01,3,Jan 2021-Jun 2021
tri06236,2020-12-30,2021-08-15,TRUE,TRUE,FALSE,FALSE,TRUE,2021-06-18,2021-06-18,NA,NA,2021-06-18,170,170,228,228,170,2020-12-01,2,July 2020-Dec 2020
tri06240,2021-06-30,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,46,46,46,46,46,2021-06-01,3,Jan 2021-Jun 2021
tri06250,2021-05-30,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,77,77,77,77,77,2021-05-01,3,Jan 2021-Jun 2021
tri06252,2020-09-01,2021-08-15,TRUE,TRUE,FALSE,FALSE,TRUE,2020-12-03,2020-12-03,NA,NA,2020-12-03,93,93,348,348,93,2020-09-01,2,July 2020-Dec 2020
tri06256,2021-05-01,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,106,106,106,106,106,2021-05-01,3,Jan 2021-Jun 2021
tri06266,2021-05-31,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,76,76,76,76,76,2021-05-01,3,Jan 2021-Jun 2021
tri06269,2020-09-30,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,319,319,319,319,319,2020-09-01,2,July 2020-Dec 2020
tri06271,2020-08-10,2021-08-15,TRUE,TRUE,FALSE,TRUE,TRUE,2020-09-28,2020-09-28,NA,2020-11-05,2020-09-28,49,49,370,87,49,2020-08-01,2,July 2020-Dec 2020
tri06273,2020-07-31,2021-08-15,TRUE,FALSE,TRUE,FALSE,TRUE,2020-09-23,NA,2020-09-23,NA,2020-09-23,54,380,54,380,54,2020-07-01,2,July 2020-Dec 2020
