id,date_completion_rcd_latest,date_completion_rcd_latest_pre_cutoff,date_completion_last_updated_exclude_missing_update_date,date_completion_last_updated_prefer_euctr,trial_status_last_updated_prefer_euctr,status_complete_last_updated_prefer_euctr,trn_ictrp_priority,date_completion_ictrp,date_completion_22_21_last_updated_prefer_euctr,date_completion_study_last_updated_prefer_euctr,date_completion_results
tri01327,2020-08-30,2020-08-30,2020-08-30,2020-08-30,Not yet recruiting,FALSE,NCT04366739,2020-08-30,2020-08-30,2020-09-30,NA
tri01330,2020-12-01,2020-12-01,2020-12-01,2020-12-01,Recruiting,FALSE,NCT04366856,2020-12-01,2021-09-23,2021-01-01,NA
tri01331,2020-12-01,2020-12-01,2020-12-01,2020-12-01,Recruiting,FALSE,NCT04366882,2020-12-01,2020-12-01,2020-12-01,NA
tri01332,2021-06-30,2021-06-30,2021-06-30,2021-06-30,Recruiting,FALSE,NCT04366908,2021-06-30,2021-12-30,2021-06-30,NA
tri01341,2021-09-01,NA,2021-09-01,2021-09-01,Recruiting,FALSE,NCT04367636,2021-09-01,2021-09-01,2021-09-01,NA
tri01347,2026-04-14,NA,2026-04-14,2026-04-14,Not yet recruiting,FALSE,NCT04368013,2026-04-14,2026-04-14,2026-04-14,NA
tri01350,2021-02-23,2021-02-23,2021-02-23,2021-02-23,"Active, not recruiting",FALSE,NCT04368156,2021-02-23,2021-02-17,2021-02-23,NA
tri01353,2020-07-31,2020-07-31,2020-07-31,2020-07-31,Recruiting,FALSE,NCT04368260,2020-07-31,2020-08-01,2020-07-31,NA
tri01354,2021-10-31,NA,2021-10-31,2021-10-31,Recruiting,FALSE,NCT04368299,2021-10-31,2022-01-17,2021-12-31,NA
tri01358,2020-04-23,2020-04-23,2020-04-23,2020-04-23,Completed,TRUE,NCT04368377,2020-04-23,2020-04-23,2020-04-23,2020-04-23
tri01360,2022-06-30,NA,2022-06-30,2022-06-30,"Active, not recruiting",FALSE,NCT04368676,2022-06-30,2022-06-30,2022-06-30,NA
tri01363,2021-11-01,NA,2021-11-01,2021-11-01,Not yet recruiting,FALSE,NCT04369274,2021-11-01,2021-11-01,2021-11-01,NA
tri01365,2020-08-27,2020-08-27,2020-08-27,2020-08-27,Recruiting,FALSE,NCT04369365,2020-08-27,2020-08-27,2020-12-27,NA
tri01366,2021-02-28,2021-02-28,2021-02-28,2021-02-28,Recruiting,FALSE,NCT04369378,2021-02-28,2021-04-28,2021-04-30,NA
tri01367,2021-05-01,2021-05-01,2021-05-01,2021-05-01,"Active, not recruiting",FALSE,EUCTR2020-001497-30,NA,2021-09-01,2021-07-01,NA
tri01369,2021-06-01,2021-06-01,2021-06-01,2021-06-01,Recruiting,FALSE,NCT04369794,2021-06-01,2021-06-01,2023-08-01,NA
tri01378,2020-07-31,2020-07-31,2020-07-31,2020-07-31,Not yet recruiting,FALSE,NCT04371523,2020-07-31,2020-07-31,2020-08-30,NA
tri01384,2021-04-30,2021-04-30,2021-04-30,2021-04-30,Not yet recruiting,FALSE,ACTRN12620000524998,2021-04-30,2021-04-30,2021-04-30,NA
tri01386,NA,NA,NA,NA,NA,NA,ChiCTR2000032769,NA,NA,NA,NA
tri01390,2021-06-08,2021-06-08,2021-06-08,2021-06-08,Not yet recruiting,FALSE,ChiCTR2000032737,2021-06-08,2021-06-08,2021-06-08,NA
tri01391,2021-01-31,2021-01-31,2021-01-31,2021-01-31,Completed,TRUE,ChiCTR2000032717,2021-01-31,2021-01-31,2021-01-31,NA
tri01395,2021-03-31,2021-03-31,2021-03-31,2021-03-31,Not yet recruiting,FALSE,ChiCTR2000032635,2021-03-31,2021-03-31,2021-03-31,NA
tri01397,NA,NA,NA,NA,NA,NA,EUCTR2020-001700-42,NA,NA,NA,NA
tri01402,NA,NA,NA,NA,NA,NA,EUCTR2020-001768-27,NA,2021-11-05,NA,NA
tri01405,NA,NA,NA,NA,NA,NA,EUCTR2020-001632-10,NA,NA,NA,NA
tri01406,NA,NA,NA,NA,NA,NA,EUCTR2020-001783-28,NA,NA,NA,NA
tri01407,NA,NA,NA,NA,NA,NA,EUCTR2020-000705-86,NA,NA,NA,NA
tri01408,NA,NA,NA,NA,NA,NA,EUCTR2020-001891-14,NA,NA,NA,NA
tri01409,NA,NA,NA,NA,NA,NA,EUCTR2020-001825-29,NA,NA,NA,NA
tri01410,NA,NA,NA,NA,NA,NA,EUCTR2020-002032-69,NA,NA,NA,NA
tri01411,NA,NA,NA,NA,NA,NA,EUCTR2020-001697-30,NA,NA,NA,NA
tri01412,NA,NA,NA,NA,NA,NA,EUCTR2020-001603-16,NA,NA,NA,NA
tri01413,2021-06-01,2021-06-01,2021-06-01,2021-06-01,"Stopped, trial finished",TRUE,EUCTR2020-001375-32,NA,2021-06-01,2021-06-01,2021-02-11
tri01414,NA,NA,NA,NA,NA,NA,EUCTR2020-001994-66,NA,2020-12-31,NA,NA
tri01415,NA,NA,NA,NA,NA,NA,EUCTR2020-001934-37,NA,NA,NA,NA
tri01416,NA,NA,NA,NA,NA,NA,EUCTR2020-002123-11,NA,NA,NA,NA
tri01417,NA,NA,NA,NA,NA,NA,EUCTR2020-001474-29,NA,NA,NA,NA
tri01419,2020-04-16,2020-04-16,2020-04-16,2020-04-16,Completed,TRUE,NCT04324489,2020-04-16,2020-04-16,2020-04-30,NA
tri01420,2020-09-01,2020-09-01,2020-09-01,2020-09-01,Recruiting,FALSE,NCT04333550,2020-09-01,2020-09-01,2021-03-01,NA
tri01424,2020-04-27,2020-04-27,2020-04-27,2020-04-27,Completed,TRUE,NCT04343768,2020-04-27,2020-04-27,2020-04-27,2020-04-30
tri01425,2021-07-01,NA,2021-07-01,2021-07-01,Recruiting,FALSE,NCT04345614,2021-07-01,2021-06-28,2021-07-01,NA
tri01426,2020-08-23,2020-08-23,2020-08-23,2020-08-23,Terminated,TRUE,NCT04346667,2020-08-23,2020-08-23,2020-08-30,NA
tri01427,2020-10-20,2020-10-20,2020-10-20,2020-10-20,Completed,TRUE,NCT04350320,2020-10-20,2020-10-20,2020-12-30,NA
tri01428,2020-08-15,2020-08-15,2020-08-15,2020-08-15,Not yet recruiting,FALSE,NCT04354597,2020-08-15,2020-08-15,2020-10-15,NA
tri01431,2020-10-15,2020-10-15,2020-10-15,2020-10-15,Completed,TRUE,NCT04358926,2020-10-15,2020-10-15,2020-11-01,NA
tri01434,2020-11-01,2020-11-01,2020-11-01,2020-11-01,Not yet recruiting,FALSE,NCT04360122,2020-11-01,2020-11-01,2020-12-01,NA
tri01435,2020-09-04,2020-09-04,2020-09-04,2020-09-04,Not yet recruiting,FALSE,NCT04361032,2020-09-04,2020-09-04,2020-10-04,NA
tri01438,2020-10-22,2020-10-22,2020-10-22,2020-10-22,Recruiting,FALSE,NCT04369456,2020-10-22,2020-10-22,2020-10-22,NA
tri01439,2020-09-01,2020-09-01,2020-09-01,2020-09-01,Recruiting,FALSE,NCT04369820,2020-09-01,2020-09-01,2020-11-01,NA
tri01442,2020-09-20,2020-09-20,2020-09-20,2020-09-20,Recruiting,FALSE,NCT04370288,2020-09-20,2020-09-20,2020-09-21,2020-08-27
