id,trn_all,in_ictrp,trn_ictrp,n_ictrp,is_intervention,is_reg_2020,is_not_withdrawn_ictrp,in_registries,trn_registries,n_registries,is_not_withdrawn_registry,is_any_rcd_cutoff_3,is_not_withdrawn_auto,is_not_phase_1_manually_excluded,is_clinical_trial_manual,is_covid_manual,is_not_withdrawn_manual,is_extracted,is_pass_screening_auto,is_pass_screening_manual_ignore_cd,is_pass_screening_manual
tri00064,ChiCTR2000029637,TRUE,ChiCTR2000029637,1,FALSE,TRUE,TRUE,TRUE,ChiCTR2000029637,1,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
tri00065,ChiCTR2000029636,TRUE,ChiCTR2000029636,1,TRUE,TRUE,TRUE,TRUE,ChiCTR2000029636,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
tri00066,ChiCTR2000029628,TRUE,ChiCTR2000029628,1,FALSE,TRUE,TRUE,TRUE,ChiCTR2000029628,1,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
tri00067,ChiCTR2000029626,TRUE,ChiCTR2000029626,1,FALSE,TRUE,TRUE,TRUE,ChiCTR2000029626,1,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
tri00068,ChiCTR2000029625,TRUE,ChiCTR2000029625,1,FALSE,TRUE,TRUE,TRUE,ChiCTR2000029625,1,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
tri00069,ChiCTR2000029624,TRUE,ChiCTR2000029624,1,FALSE,TRUE,TRUE,TRUE,ChiCTR2000029624,1,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
tri00070,ChiCTR2000029621,TRUE,ChiCTR2000029621,1,TRUE,TRUE,TRUE,TRUE,ChiCTR2000029621,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
tri00071,ChiCTR2000029609,TRUE,ChiCTR2000029609,1,TRUE,TRUE,TRUE,TRUE,ChiCTR2000029609,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
tri00072,ChiCTR2000029606,TRUE,ChiCTR2000029606,1,TRUE,TRUE,TRUE,TRUE,ChiCTR2000029606,1,TRUE,FALSE,TRUE,TRUE,NA,NA,NA,FALSE,TRUE,FALSE,FALSE
tri00073,ChiCTR2000029603,TRUE,ChiCTR2000029603,1,TRUE,TRUE,TRUE,TRUE,ChiCTR2000029603,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
tri00074,ChiCTR2000029602,TRUE,ChiCTR2000029602,1,TRUE,TRUE,TRUE,TRUE,ChiCTR2000029602,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
tri00075,ChiCTR2000029601,TRUE,ChiCTR2000029601,1,TRUE,TRUE,TRUE,TRUE,ChiCTR2000029601,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
tri00076,ChiCTR2000029600,TRUE,ChiCTR2000029600,1,TRUE,TRUE,TRUE,TRUE,ChiCTR2000029600,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
tri00077,ChiCTR2000029578,TRUE,ChiCTR2000029578,1,TRUE,TRUE,TRUE,TRUE,ChiCTR2000029578,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
tri00078,ChiCTR2000029572,TRUE,ChiCTR2000029572,1,TRUE,TRUE,TRUE,TRUE,ChiCTR2000029572,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
tri00079,ChiCTR2000029569,TRUE,ChiCTR2000029569,1,TRUE,TRUE,TRUE,TRUE,ChiCTR2000029569,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
tri00080,ChiCTR2000029559,TRUE,ChiCTR2000029559,1,TRUE,TRUE,TRUE,TRUE,ChiCTR2000029559,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
